Time (s),Resistance (Ω),Conductance (µS),Stage
1,59.3385,16852.46509433167,callibration
2,61.7299,16199.605053628791,callibration
3,62.2425,16066.192713981603,callibration
4,62.6291,15967.018526531596,callibration
5,59.6491,16764.712292389995,callibration
6,59.6491,16764.712292389995,callibration
7,59.0291,16940.79699673551,callibration
8,59.4005,16834.875127313742,callibration
9,0.001,1000000000,callibration
10,0.001,1000000000,callibration
11,0.001,1000000000,callibration
12,0.001,1000000000,callibration
13,69.0054,14491.619496445206,callibration
14,59.9609,16677.53486021724,callibration
15,59.9609,16677.53486021724,callibration
16,61.3475,16300.582745833164,callibration
17,65.1876,15340.340801011234,callibration
18,63.8,15673.981191222572,callibration
19,61.157,16351.357980280263,callibration
20,59.9609,16677.53486021724,Normal stage
21,61.2205,16334.39779158942,Normal stage
22,63.5383,15738.538802580491,Normal stage
23,64.8551,15418.987866798449,Normal stage
24,66.3958,15061.193629717543,Normal stage
25,65.3877,15293.396158604754,Normal stage
26,61.7299,16199.605053628791,Normal stage
27,64.5239,15498.133249850056,Normal stage
28,67.2111,14878.494772440861,Normal stage
29,65.3877,15293.396158604754,Normal stage
30,64.2599,15561.804484600816,Normal stage
31,76.5847,13057.438365626555,Normal stage
