df_hash,22ZHK4.DV5PWR
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.EPNQ
person_label,V74 (2)
date_time_start,2025-11-03_13-31-17.499000_+03
date_time_start_unix,1762162277.499
date_time_end,2025-11-03_13-39-35.191000_+03
length_difference_noticed,no

time,ppg_med
5.529,582
5.554,669
5.579,807
5.604,882
5.629,853
5.654,822
5.679,902
5.704,1048
5.729,1104
5.754,1015
5.779,919
5.804,969
5.829,1104
5.854,1113
5.879,920
5.904,715
5.929,704
5.954,805
5.979,732
6.004,388
6.029,29
6.054,-73
6.079,-27
6.104,-208
6.129,-743
6.154,-1294
6.179,-1503
6.204,-1512
6.229,-1809
6.254,-2554
6.279,-3308
6.304,-3608
6.329,-3637
6.354,-4021
6.379,-4959
6.404,-5889
6.429,-6220
6.454,-6186
6.479,-6580
6.504,-7650
6.529,-8683
6.554,-8934
6.579,-8700
6.604,-8974
6.629,-10068
6.654,-11086
6.679,-11097
6.704,-10470
6.729,-10452
6.754,-11428
6.779,-12281
6.804,-11852
6.829,-10604
6.854,-10090
6.879,-10796
6.904,-11330
6.929,-10246
6.954,-8124
6.979,-6909
7.004,-7217
7.029,-7307
7.054,-5365
7.079,-2116
7.104,-21
7.129,126
7.154,527
7.179,3497
7.204,8116
7.229,11219
7.254,11754
7.279,12559
7.304,16679
7.329,22936
7.354,27117
7.379,27749
7.404,28640
7.429,32767
7.454,32767
7.479,32767
7.504,32767
7.529,32767
7.554,32767
7.579,32767
7.604,32767
7.629,32767
7.654,32767
7.679,32767
7.704,32767
7.729,32767
7.754,32767
7.779,15543
7.804,-32768
7.829,-32768
7.854,-32768
7.879,-32768
7.904,-32768
7.929,-32768
7.954,-32768
7.979,-32768
8.004,-32768
8.029,-32768
8.054,-32768
8.079,-32768
8.104,-32768
8.129,-32768
8.154,-30073
8.179,-27583
8.204,-27443
8.229,-24799
8.254,-18868
8.279,-13453
8.304,-11477
8.329,-11287
8.354,-9320
8.379,-4958
8.404,-1029
8.429,252
8.454,134
8.479,1362
8.504,4425
8.529,7129
8.554,7731
8.579,7205
8.604,7721
8.629,9683
8.654,11363
8.679,11376
8.704,10492
8.729,10439
8.754,11541
8.779,12423
8.804,11987
8.829,10857
8.854,10419
8.879,10926
8.904,11264
8.929,10554
8.954,9317
8.979,8693
9.004,8897
9.029,9023
9.054,8329
9.079,7196
9.104,6520
9.129,6490
9.154,6411
9.179,5713
9.204,4700
9.229,4069
9.254,3959
9.279,3824
9.304,3228
9.329,2412
9.354,1917
9.379,1840
9.404,1747
9.429,1298
9.454,685
9.479,328
9.504,301
9.529,272
9.554,-17
9.579,-420
9.604,-624
9.629,-584
9.654,-552
9.679,-718
9.704,-963
9.729,-1052
9.754,-959
9.779,-881
9.804,-950
9.829,-1060
9.854,-1024
9.879,-826
9.904,-639
9.929,-590
9.954,-615
9.979,-567
10.004,-409
10.029,-253
10.054,-194
10.079,-200
10.104,-169
10.129,-68
10.154,33
10.179,74
10.204,77
10.229,112
10.254,196
10.279,273
10.304,297
10.329,291
10.354,292
10.379,268
10.404,238
10.429,209
10.454,188
10.479,171
10.504,149
10.529,120
10.554,91
10.579,68
10.604,51
10.629,27
10.654,-7
10.679,-36
10.704,-32
10.729,18
10.754,102
10.779,180
10.804,226
10.829,244
10.854,260
10.879,296
10.904,344
10.929,383
10.954,396
10.979,389
11.004,381
11.029,380
11.054,384
11.079,383
11.104,373
11.129,358
11.154,344
11.179,332
11.204,318
11.229,300
11.254,280
11.279,257
11.304,236
11.329,218
11.354,202
11.379,182
11.404,153
11.429,118
11.454,86
11.479,66
11.504,53
11.529,34
11.554,-2
11.579,-44
11.604,-61
11.629,-27
11.654,52
11.679,145
11.704,219
11.729,260
11.754,284
11.779,309
11.804,340
11.829,367
11.854,382
11.879,381
11.904,375
11.929,372
11.954,372
11.979,375
12.004,374
12.029,367
12.054,354
12.079,336
12.104,319
12.129,304
12.154,288
12.179,269
12.204,246
12.229,222
12.254,202
12.279,184
12.304,163
12.329,135
12.354,104
12.379,76
12.404,50
12.429,20
12.454,-12
12.479,-36
12.504,-27
12.529,26
12.554,109
12.579,191
12.604,245
12.629,271
12.654,286
12.679,310
12.704,340
12.729,365
12.754,372
12.779,365
12.804,354
12.829,350
12.854,352
12.879,353
12.904,347
12.929,336
12.954,323
12.979,309
13.004,291
13.029,270
13.054,246
13.079,225
13.104,205
13.129,184
13.154,161
13.179,138
13.204,118
13.229,100
13.254,73
13.279,34
13.304,-6
13.329,-22
13.354,8
13.379,83
13.404,171
13.429,237
13.454,269
13.479,280
13.504,297
13.529,329
13.554,360
13.579,372
13.604,359
13.629,338
13.654,330
13.679,339
13.704,351
13.729,353
13.754,339
13.779,319
13.804,299
13.829,280
13.854,255
13.879,228
13.904,205
13.929,188
13.954,173
13.979,150
14.004,117
14.029,87
14.054,72
14.079,67
14.104,54
14.129,22
14.154,-14
14.179,-23
14.204,17
14.229,99
14.254,188
14.279,249
14.304,277
14.329,293
14.354,318
14.379,354
14.404,386
14.429,401
14.454,400
14.479,394
14.504,391
14.529,392
14.554,392
14.579,387
14.604,375
14.629,357
14.654,336
14.679,316
14.704,299
14.729,284
14.754,265
14.779,239
14.804,207
14.829,176
14.854,148
14.879,122
14.904,96
14.929,72
