df_hash,22ZHK4.E4K1RV
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.2N0T
person_label,V14
date_time_start,2025-05-22_11-28-58.854000_+03
date_time_start_unix,1747902538.854
date_time_end,2025-05-22_11-34-10.018000_+03
length_difference_noticed,no

time,ppg_med
5.214,477
5.239,548
5.264,661
5.289,722
5.314,698
5.339,673
5.364,738
5.389,858
5.414,904
5.439,830
5.464,751
5.489,792
5.514,903
5.539,910
5.564,751
5.589,584
5.614,574
5.639,657
5.664,597
5.689,315
5.714,20
5.739,-63
5.764,-24
5.789,-173
5.814,-612
5.839,-1064
5.864,-1235
5.889,-1241
5.914,-1485
5.939,-2096
5.964,-2714
5.989,-2959
6.014,-2981
6.039,-3296
6.064,-4065
6.089,-4827
6.114,-5098
6.139,-5068
6.164,-5390
6.189,-6267
6.214,-7113
6.239,-7317
6.264,-7123
6.289,-7347
6.314,-8244
6.339,-9077
6.364,-9083
6.389,-8567
6.414,-8550
6.439,-9351
6.464,-10049
6.489,-9694
6.514,-8668
6.539,-8245
6.564,-8825
6.589,-9262
6.614,-8370
6.639,-6627
6.664,-5631
6.689,-5884
6.714,-5958
6.739,-4363
6.764,-1697
6.789,19
6.814,138
6.839,465
6.864,2902
6.889,6690
6.914,9233
6.939,9666
6.964,10323
6.989,13701
7.014,18831
7.039,22254
7.064,22764
7.089,23489
7.114,27898
7.139,32767
7.164,32767
7.189,32767
7.214,32767
7.239,32767
7.264,32767
7.289,32767
7.314,32767
7.339,32767
7.364,32767
7.389,32767
7.414,32767
7.439,32767
7.464,12553
7.489,-32768
7.514,-32768
7.539,-32768
7.564,-32768
7.589,-32768
7.614,-32768
7.639,-32768
7.664,-32768
7.689,-32768
7.714,-32768
7.739,-32768
7.764,-32768
7.789,-32768
7.814,-30219
7.839,-24366
7.864,-22411
7.889,-22378
7.914,-20258
7.939,-15416
7.964,-10992
7.989,-9394
8.014,-9263
8.039,-7668
8.064,-4102
8.089,-890
8.114,145
8.139,28
8.164,1014
8.189,3510
8.214,5716
8.239,6206
8.264,5778
8.289,6211
8.314,7838
8.339,9243
8.364,9294
8.389,8621
8.414,8633
8.439,9590
8.464,10356
8.489,10029
8.514,9124
8.539,8780
8.564,9211
8.589,9504
8.614,8937
8.639,7930
8.664,7408
8.689,7546
8.714,7605
8.739,6987
8.764,6005
8.789,5393
8.814,5303
8.839,5177
8.864,4559
8.889,3701
8.914,3170
8.939,3070
8.964,2953
8.989,2466
9.014,1813
9.039,1430
9.064,1385
9.089,1316
9.114,949
9.139,452
9.164,170
9.189,158
9.214,134
9.239,-111
9.264,-449
9.289,-611
9.314,-560
9.339,-515
9.364,-641
9.389,-838
9.414,-902
9.439,-805
9.464,-713
9.489,-757
9.514,-863
9.539,-870
9.564,-743
9.589,-597
9.614,-535
9.639,-524
9.664,-466
9.689,-340
9.714,-220
9.739,-169
9.764,-158
9.789,-114
9.814,-24
9.839,54
9.864,82
9.889,89
9.914,131
9.939,212
9.964,278
9.989,294
10.014,289
10.039,299
10.064,293
10.089,277
10.114,252
10.139,229
10.164,218
10.189,222
10.214,235
10.239,252
10.264,267
10.289,280
10.314,290
10.339,302
10.364,318
10.389,343
10.414,370
10.439,381
10.464,358
10.489,301
10.514,226
10.539,159
10.564,114
10.589,83
10.614,51
10.639,12
10.664,-27
10.689,-64
10.714,-97
10.739,-134
10.764,-168
10.789,-185
10.814,-167
10.839,-116
10.864,-52
10.889,2
10.914,38
10.939,62
10.964,83
10.989,101
11.014,111
11.039,113
11.064,117
11.089,131
11.114,152
11.139,169
11.164,176
11.189,177
11.214,177
11.239,178
11.264,173
11.289,160
11.314,144
11.339,131
11.364,118
11.389,99
11.414,69
11.439,44
11.464,43
11.489,73
11.514,122
11.539,164
11.564,191
11.589,210
11.614,236
11.639,268
11.664,296
11.689,312
11.714,323
11.739,340
11.764,366
11.789,391
11.814,408
11.839,421
11.864,436
11.889,447
11.914,445
11.939,426
11.964,404
11.989,395
12.014,388
12.039,354
12.064,275
12.089,176
12.114,105
12.139,89
12.164,101
12.189,89
12.214,24
12.239,-66
12.264,-127
12.289,-128
12.314,-79
12.339,-15
12.364,43
12.389,102
12.414,174
12.439,260
12.464,355
12.489,452
12.514,546
12.539,629
12.564,691
12.589,726
12.614,740
12.639,742
12.664,739
12.689,732
12.714,731
12.739,749
12.764,785
12.789,805
12.814,751
12.839,582
12.864,304
12.889,-23
12.914,-321
12.939,-520
12.964,-578
12.989,-487
13.014,-276
13.039,-3
13.064,263
13.089,466
13.114,574
13.139,576
13.164,478
13.189,303
13.214,89
13.239,-122
13.264,-315
13.289,-508
13.314,-715
13.339,-911
13.364,-1022
13.389,-984
13.414,-807
13.439,-582
13.464,-410
13.489,-328
13.514,-299
13.539,-261
13.564,-193
13.589,-114
13.614,-52
13.639,-7
13.664,36
13.689,87
13.714,137
13.739,181
13.764,227
13.789,288
13.814,366
13.839,450
13.864,532
13.889,608
13.914,674
13.939,712
13.964,704
13.989,649
14.014,577
14.039,527
14.064,515
14.089,527
14.114,539
14.139,532
14.164,506
14.189,467
14.214,419
14.239,371
14.264,337
14.289,324
14.314,324
14.339,320
14.364,297
14.389,259
14.414,220
14.439,190
14.464,169
14.489,155
14.514,151
14.539,162
14.564,186
