Time (s),Resistance (Ω),Stage
1,13794.31,Calibration
2,13480.5,Calibration
3,13440.18,Calibration
4,13711.64,Calibration
5,13188,Calibration
6,13711.64,Calibration
7,13306.77,Calibration
8,13780.49,Calibration
9,13739.13,Calibration
10,13766.69,Calibration
11,13905.43,Calibration
12,13359.95,Calibration
13,13919.39,Calibration
14,13711.64,Calibration
15,13333.33,Calibration
16,13359.95,Calibration
17,13933.37,Calibration
18,13947.37,Calibration
19,13561.57,Calibration
20,13602.3,Normal
21,14017.6,Normal
22,13961.38,Normal
23,13891.48,Normal
24,14102.41,Normal
25,14074.08,Normal
26,14003.52,Normal
27,13975.41,Normal
28,14059.93,Normal
29,14145.05,Normal
30,14159.29,Normal
31,13697.92,Normal
32,13835.85,Normal
33,13697.92,Normal
34,13849.74,Normal
35,14187.83,Normal
36,14216.44,Normal
37,14159.29,Normal
38,13739.13,Normal
39,14245.11,Normal
40,14187.83,Normal
41,14216.44,Normal
42,14074.08,Normal
43,14145.05,Normal
44,13670.52,Normal
45,13877.55,Normal
46,14102.41,Normal
47,14074.08,Normal
48,14102.41,Normal
49,13947.37,Normal
50,14116.61,Normal
51,13575.13,Normal
52,14045.8,Normal
53,14130.82,Normal
54,14202.13,Normal
55,13821.99,Normal
56,14045.8,Normal
57,14130.82,Normal
58,14159.29,Normal
59,14230.77,Normal
60,13629.54,Normal
61,13656.84,Normal
62,13989.46,Normal
63,14202.13,Normal
64,14273.86,Normal
65,13794.31,Normal
66,13656.84,Normal
67,13629.54,Normal
68,13697.92,Normal
69,14130.82,Normal
70,14187.83,Normal
71,13684.21,Normal
72,13835.85,Normal
73,14145.05,Normal
74,14159.29,Normal
75,13629.54,Normal
76,14116.61,Normal
77,13629.54,Normal
78,14145.05,Normal
79,13919.39,Normal
80,14216.44,Normal
81,14288.26,Normal
82,14245.11,Normal
83,14187.83,Normal
84,14130.82,Normal
85,14059.93,Normal
86,14216.44,Normal
87,14202.13,Normal
88,14273.86,Normal
89,13919.39,Normal
90,13766.69,Normal
91,13739.13,Normal
92,14088.24,Normal
93,14245.11,Normal
94,13933.37,Normal
95,14017.6,Normal
96,14302.67,Normal
97,14331.55,Normal
98,13711.64,Normal
99,14302.67,Normal
100,13711.64,Normal
101,14288.26,Normal
102,13697.92,Normal
103,14317.1,Normal
104,14173.55,Normal
105,14302.67,Normal
106,14360.5,Normal
107,14302.67,Normal
108,14202.13,Normal
109,13821.99,Normal
110,13739.13,Normal
111,14074.08,Normal
112,14331.55,Normal
113,14273.86,Normal
114,13891.48,Normal
115,13835.85,Normal
116,14187.83,Normal
117,14230.77,Normal
118,13780.49,Normal
119,14116.61,Normal
120,14230.77,Normal
121,14216.44,Normal
122,14031.69,Normal
123,13821.99,Normal
124,14288.26,Normal
125,14302.67,Normal
126,14273.86,Normal
127,14202.13,Normal
128,14059.93,Normal
129,13670.52,Normal
130,14187.83,Normal
131,14331.55,Normal
132,14116.61,Normal
133,13643.19,Normal
134,14216.44,Normal
135,14187.83,Normal
136,14288.26,Normal
137,14202.13,Normal
138,13670.52,Normal
139,14230.77,Normal
140,13656.84,Normal
141,14216.44,Normal
142,13877.55,Normal
143,13989.46,Normal
144,14245.11,Normal
145,14173.55,Normal
146,14187.83,Normal
147,14130.82,Normal
148,13739.13,Normal
149,14230.77,Normal
150,14116.61,Normal
151,14074.08,Normal
152,13697.92,Normal
153,13849.74,Normal
154,13643.19,Normal
