df_hash,22ZHK4.JPPQDU
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.U6PK
person_label,V61
date_time_start,2025-10-31_15-57-37.375000_+03
date_time_start_unix,1761911857.375
date_time_end,2025-10-31_16-06-24.462000_+03
length_difference_noticed,no

time,ppg_quality
57.835,76
59.855,83
61.875,82
63.895,77
65.915,79
66.925,80
68.945,78
70.965,79
72.985,78
73.995,74
75.005,73
76.015,75
77.025,75
78.035,73
79.045,70
80.055,71
82.075,70
83.085,71
84.095,74
86.115,70
88.135,65
89.145,67
90.155,67
92.175,64
93.185,63
94.195,63
95.205,63
97.225,70
99.245,75
101.265,78
103.285,80
104.295,79
106.315,80
108.335,80
110.355,80
112.375,78
113.385,78
115.405,78
116.415,76
117.425,75
119.445,72
121.465,68
123.485,74
125.505,71
127.525,76
128.535,76
130.555,76
131.565,78
132.575,78
134.595,73
136.615,76
138.635,73
140.655,50
141.665,36
142.675,32
143.685,36
145.705,32
147.725,31
148.735,31
149.745,43
151.765,71
153.785,72
156.815,82
157.825,83
158.835,83
160.855,85
162.875,84
164.895,81
165.905,79
166.915,79
167.925,80
169.945,79
170.955,78
171.965,78
173.985,84
176.005,83
178.025,82
179.035,83
180.045,84
182.065,79
183.075,78
185.095,81
187.115,79
189.135,78
191.155,84
192.165,84
194.185,76
196.205,77
198.225,77
200.245,75
201.255,75
203.275,76
204.285,80
205.295,82
207.315,78
209.335,83
211.355,82
213.375,82
214.385,79
216.405,75
218.425,73
219.435,71
220.445,69
222.465,66
224.485,70
225.495,73
226.505,70
229.535,65
231.555,85
233.575,92
235.595,94
236.605,96
237.615,88
239.635,74
240.645,69
242.665,40
244.685,49
246.705,58
247.715,70
248.725,68
249.735,68
251.755,70
253.775,62
254.785,52
255.795,47
257.815,40
259.835,56
261.855,64
264.885,62
265.895,56
266.905,54
268.925,60
270.945,33
271.955,17
272.965,19
273.975,18
275.995,32
278.015,36
280.035,77
281.045,95
282.055,98
284.075,106
285.085,108
287.105,88
289.125,48
290.135,33
291.145,27
293.165,35
295.185,38
296.195,49
297.205,51
298.215,62
300.235,93
302.255,101
304.275,96
305.285,93
306.295,94
307.305,97
309.325,85
311.345,68
312.355,69
313.365,71
315.385,75
317.405,69
318.415,68
320.435,66
322.455,60
324.475,51
326.495,36
328.515,39
330.535,37
331.545,46
333.565,49
334.575,52
335.585,62
337.605,79
339.625,96
340.635,94
341.645,91
342.655,85
343.665,83
344.675,84
346.695,80
348.715,75
350.735,103
352.755,107
353.765,101
355.785,89
357.805,93
358.815,87
359.825,91
361.845,57
363.865,71
364.875,66
366.895,55
367.905,55
368.915,53
370.935,49
371.945,46
373.965,38
374.975,30
378.005,27
380.025,19
382.045,24
384.065,24
385.075,38
386.085,40
387.085,36
389.105,37
391.125,38
392.135,40
393.145,38
394.155,35
395.165,24
396.175,15
397.185,14
398.195,15
400.215,22
402.235,25
404.255,51
406.275,65
407.285,63
409.305,63
410.315,54
411.325,50
413.345,51
415.365,28
417.385,49
419.405,60
420.415,56
421.425,57
423.445,43
424.455,43
426.475,29
428.495,17
430.515,29
431.525,30
432.535,38
433.545,53
434.555,68
435.565,79
436.575,93
437.585,102
438.595,109
440.615,106
441.625,106
442.635,103
443.645,100
446.675,80
448.695,78
450.715,84
452.735,88
453.745,88
454.755,87
457.785,95
459.805,97
461.825,97
463.845,96
464.855,95
465.865,98
466.875,100
467.885,99
468.895,92
470.915,73
471.925,67
472.935,62
474.955,56
475.965,52
476.975,49
480.005,60
482.025,78
483.035,86
484.045,91
485.055,95
486.065,96
488.085,95
489.095,94
491.115,93
493.135,88
495.155,83
497.175,74
498.185,66
499.195,57
502.225,56
503.235,62
504.245,61
506.265,73
508.285,74
509.295,72
511.315,71
513.335,60
515.355,50
517.375,23
519.395,40
520.405,47
521.415,41
524.445,51
