Time (s),Resistance (Ω),Stage
1,12928.33,Calibration
2,13188,Calibration
3,13333.33,Calibration
4,12737.37,Calibration
5,13044.46,Calibration
6,12686.98,Calibration
7,13214.29,Calibration
8,13293.51,Calibration
9,13201.13,Calibration
10,13070.42,Calibration
11,13057.43,Calibration
12,12979.8,Calibration
13,13174.87,Calibration
14,13320.05,Calibration
15,13018.55,Calibration
16,13201.13,Calibration
17,13174.87,Calibration
18,12966.91,Calibration
19,13122.53,Calibration
20,13280.27,Normal
21,13306.77,Normal
22,13480.5,Normal
23,13891.48,Normal
24,13453.61,Normal
25,13739.13,Normal
26,13413.38,Normal
27,13480.5,Normal
28,13267.04,Normal
29,13602.3,Normal
30,13453.61,Normal
31,13480.5,Normal
32,13413.38,Normal
33,12915.5,Normal
34,12902.68,Normal
35,13386.64,Normal
36,13109.48,Normal
37,13386.64,Normal
38,13320.05,Normal
39,13575.13,Normal
40,13877.55,Normal
41,13780.49,Normal
42,13711.64,Normal
43,14216.44,Normal
44,13877.55,Normal
45,14216.44,Normal
46,14102.41,Normal
47,14116.61,Normal
48,13602.3,Normal
49,14059.93,Normal
50,13919.39,Normal
51,13507.46,Normal
52,13989.46,Normal
53,14130.82,Normal
54,14074.08,Normal
55,13794.31,Normal
56,13933.37,Normal
57,13520.97,Normal
58,13919.39,Normal
59,13989.46,Normal
60,13725.38,Normal
61,13467.05,Normal
62,13849.74,Normal
63,13780.49,Normal
64,13849.74,Normal
65,13413.38,Normal
66,13561.57,Normal
67,13725.38,Normal
68,13684.21,Normal
69,13670.52,Normal
70,13711.64,Normal
71,13739.13,Normal
72,13467.05,Normal
73,13413.38,Normal
74,13629.54,Normal
75,13863.64,Normal
76,13877.55,Normal
77,13877.55,Normal
78,14145.05,Normal
79,13891.48,Normal
80,13725.38,Normal
81,14288.26,Normal
82,13891.48,Normal
83,14375,Normal
84,14003.52,Normal
85,14375,Normal
86,14045.8,Normal
87,14059.93,Normal
88,13961.38,Normal
89,14216.44,Normal
90,14245.11,Normal
91,13835.85,Normal
92,14302.67,Normal
93,13835.85,Normal
94,13947.37,Normal
95,13947.37,Normal
96,14145.05,Normal
97,13835.85,Normal
98,13656.84,Normal
99,14045.8,Normal
100,13919.39,Normal
101,14045.8,Normal
102,13989.46,Normal
103,13905.43,Normal
104,13548.02,Normal
105,13561.57,Normal
106,13480.5,Normal
107,13891.48,Normal
108,13919.39,Normal
109,13919.39,Normal
110,13905.43,Normal
111,13467.05,Normal
112,13615.92,Normal
113,13656.84,Normal
114,13849.74,Normal
115,13849.74,Normal
116,13346.64,Normal
117,13725.38,Normal
118,13400,Normal
119,13615.92,Normal
120,13780.49,Normal
121,13766.69,Normal
122,13739.13,Normal
123,13739.13,Normal
124,13602.3,Normal
125,13877.55,Normal
126,13697.92,Normal
127,13493.98,Normal
128,13201.13,Normal
129,13453.61,Normal
130,13057.43,Normal
131,13096.45,Normal
132,13615.92,Normal
133,13919.39,Normal
134,13863.64,Normal
135,13919.39,Normal
136,13684.21,Normal
137,13919.39,Normal
