df_hash,22ZHK4.FR6L0Q
device,HZ2X61
project_hash,29R7
project_name,istanbul_aydin_university
person_hash,29R7.4JNX
person_label,V102
date_time_start,2025-11-04_19-59-24.084000_+03
date_time_start_unix,1762271964.084
date_time_end,2025-11-04_19-59-57.552000_+03
length_difference_noticed,no

time,ppg_med
5.464,515
5.489,591
5.514,713
5.539,779
5.564,754
5.589,727
5.614,797
5.639,927
5.664,976
5.689,897
5.714,812
5.739,856
5.764,976
5.789,984
5.814,813
5.839,633
5.864,623
5.889,712
5.914,647
5.939,344
5.964,26
5.989,-64
6.014,-23
6.039,-183
6.064,-656
6.089,-1143
6.114,-1328
6.139,-1335
6.164,-1598
6.189,-2257
6.214,-2923
6.239,-3188
6.264,-3214
6.289,-3553
6.314,-4383
6.339,-5205
6.364,-5498
6.389,-5468
6.414,-5816
6.439,-6762
6.464,-7675
6.489,-7898
6.514,-7691
6.539,-7933
6.564,-8900
6.589,-9800
6.614,-9810
6.639,-9257
6.664,-9240
6.689,-10104
6.714,-10858
6.739,-10479
6.764,-9376
6.789,-8922
6.814,-9546
6.839,-10018
6.864,-9061
6.889,-7185
6.914,-6111
6.939,-6383
6.964,-6463
6.989,-4747
7.014,-1876
7.039,-24
7.064,106
7.089,461
7.114,3085
7.139,7167
7.164,9911
7.189,10386
7.214,11098
7.239,14738
7.264,20268
7.289,23964
7.314,24526
7.339,25314
7.364,30068
7.389,32767
7.414,32767
7.439,32767
7.464,32767
7.489,32767
7.514,32767
7.539,32767
7.564,32767
7.589,32767
7.614,32767
7.639,32767
7.664,32767
7.689,32767
7.714,13798
7.739,-32768
7.764,-32768
7.789,-32768
7.814,-32768
7.839,-32768
7.864,-32768
7.889,-32768
7.914,-32768
7.939,-32768
7.964,-32768
7.989,-32768
8.014,-32768
8.039,-32768
8.064,-32768
8.089,-26533
8.114,-24349
8.139,-24243
8.164,-21915
8.189,-16680
8.214,-11906
8.239,-10178
8.264,-10030
8.289,-8306
8.314,-4456
8.339,-988
8.364,134
8.389,17
8.414,1089
8.439,3791
8.464,6180
8.489,6713
8.514,6251
8.539,6716
8.564,8464
8.589,9955
8.614,9960
8.639,9166
8.664,9123
8.689,10139
8.714,10990
8.739,10678
8.764,9729
8.789,9366
8.814,9832
8.839,10158
8.864,9561
8.889,8478
8.914,7898
8.939,8018
8.964,8062
8.989,7396
9.014,6363
9.039,5745
9.064,5695
9.089,5595
9.114,4949
9.139,4032
9.164,3467
9.189,3369
9.214,3243
9.239,2692
9.264,1939
9.289,1483
9.314,1431
9.339,1402
9.364,1075
9.389,598
9.414,330
9.439,339
9.464,338
9.489,97
9.514,-255
9.539,-437
9.564,-392
9.589,-339
9.614,-451
9.639,-640
9.664,-704
9.689,-611
9.714,-529
9.739,-582
9.764,-694
9.789,-709
9.814,-606
9.839,-513
9.864,-529
9.889,-597
9.914,-592
9.939,-481
9.964,-355
9.989,-294
10.014,-279
10.039,-231
10.064,-133
10.089,-42
10.114,-10
10.139,-14
10.164,6
10.189,66
10.214,120
10.239,129
10.264,120
10.289,126
10.314,116
10.339,101
10.364,85
10.389,73
10.414,71
10.439,74
10.464,74
10.489,61
10.514,38
10.539,22
10.564,34
10.589,80
10.614,145
10.639,201
10.664,233
10.689,245
10.714,251
10.739,256
10.764,254
10.789,238
10.814,212
10.839,191
10.864,186
10.889,196
10.914,210
10.939,217
10.964,216
10.989,211
11.014,206
11.039,200
11.064,191
11.089,174
11.114,151
11.139,128
11.164,117
11.189,130
11.214,169
11.239,223
11.264,274
11.289,312
11.314,333
11.339,344
11.364,345
11.389,336
11.414,315
11.439,287
11.464,261
11.489,239
11.514,222
11.539,203
11.564,177
11.589,146
11.614,109
11.639,70
11.664,30
11.689,-8
11.714,-48
11.739,-88
11.764,-122
11.789,-139
11.814,-125
11.839,-75
11.864,-3
11.889,68
11.914,122
11.939,152
11.964,166
11.989,173
12.014,179
12.039,182
12.064,187
12.089,198
12.114,219
12.139,250
12.164,285
12.189,321
12.214,357
12.239,393
12.264,427
12.289,454
12.314,471
12.339,482
12.364,498
12.389,536
12.414,606
12.439,703
12.464,805
12.489,885
12.514,924
12.539,927
12.564,907
12.589,869
12.614,805
12.639,710
12.664,595
12.689,490
12.714,418
12.739,376
12.764,334
12.789,269
12.814,181
12.839,85
12.864,-10
12.889,-121
12.914,-261
12.939,-417
12.964,-548
12.989,-613
13.014,-608
13.039,-562
13.064,-512
13.089,-468
13.114,-421
13.139,-361
13.164,-294
13.189,-234
13.214,-185
13.239,-142
13.264,-95
13.289,-44
13.314,3
13.339,46
13.364,88
13.389,130
13.414,169
13.439,197
13.464,214
13.489,228
13.514,244
13.539,261
13.564,277
13.589,295
13.614,328
13.639,383
13.664,448
13.689,502
13.714,528
13.739,527
13.764,512
13.789,492
13.814,470
13.839,442
13.864,414
13.889,391
13.914,374
13.939,356
13.964,331
13.989,302
14.014,276
14.039,254
14.064,227
14.089,184
14.114,128
14.139,84
14.164,74
14.189,98
14.214,134
14.239,156
14.264,153
14.289,136
14.314,119
14.339,101
14.364,71
14.389,24
14.414,-27
14.439,-66
14.464,-86
14.489,-106
14.514,-142
14.539,-187
14.564,-200
14.589,-138
14.614,1
14.639,172
14.664,311
14.689,384
14.714,408
14.739,426
14.764,463
14.789,515
14.814,561
